Month,Price,Change
7/1/14,1260.00,0.0261000
8/1/14,1260.00,0.0000000
9/1/14,1308.00,0.0381000
10/1/14,1338.00,0.0229000
11/1/14,1370.00,0.0239000
12/1/14,1360.00,-0.0073000
1/1/15,1350.00,-0.0074000
2/1/15,1350.00,0.0000000
3/1/15,1300.00,-0.0370000
4/1/15,1300.00,0.0000000
5/1/15,1290.00,-0.0077000
6/1/15,1280.00,-0.0078000
7/1/15,1280.00,0.0000000
8/1/15,1150.00,-0.1016000
9/1/15,1150.00,0.0000000
10/1/15,1150.00,0.0000000
11/1/15,1175.00,0.0217000
12/1/15,1200.00,0.0213000
1/1/16,1175.00,-0.0208000
2/1/16,1150.00,-0.0213000
3/1/16,1150.00,0.0000000
4/1/16,1163.00,0.0113000
5/1/16,1200.00,0.0318000
6/1/16,1260.00,0.0500000
7/1/16,1400.00,0.1111000
8/1/16,1550.00,0.1071000
9/1/16,1550.00,0.0000000
10/1/16,1550.00,0.0000000
11/1/16,1600.00,0.0323000
12/1/16,1600.00,0.0000000
1/1/17,1650.00,0.0313000
2/1/17,1650.00,0.0000000
3/1/17,1650.00,0.0000000
4/1/17,1650.00,0.0000000
5/1/17,1650.00,0.0000000
6/1/17,1450.00,-0.1212000
7/1/17,1450.00,0.0000000
8/1/17,1405.00,-0.0310000
9/1/17,1344.00,-0.0434000
10/1/17,1275.00,-0.0513000
11/1/17,1250.00,-0.0196000
